STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,BEL,Belgium,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2023,,53.3,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,BEL,Belgium,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2022,,52.26,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CAN,Canada,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2024,,45.47,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CAN,Canada,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2023,,42.85,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CAN,Canada,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2022,,41.39,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CAN,Canada,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2024,,1221566.12,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CAN,Canada,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2023,,1107278.36,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CHL,Chile,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2022,,167759.17,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CHL,Chile,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2023,,28.21,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CHL,Chile,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2022,,27.84,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,COL,Colombia,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2024,,49.67,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,COL,Colombia,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2023,,49.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,COL,Colombia,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2022,,46.27,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,COL,Colombia,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2024,,567214.61,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,COL,Colombia,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2023,,538003.42,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CRI,Costa Rica,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2023,,58592.76,,E,Estimated value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CRI,Costa Rica,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2022,,52724.45,,E,Estimated value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CRI,Costa Rica,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2022,,40.02,,E,Estimated value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CZE,Czechia,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2024,,43,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CZE,Czechia,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2023,,43.93,,A,Normal value,0,Units,_Z,Not applicable,,
